# x1, y1, z1, x2, y2, z2, x3, y3, z3
0,0,0,2,0,0,0,0,2
0.045,0,0.00475,1.89361,0,0.0613864,0.0613864,0,1.93386
0.120117,0,0.013725,1.70629,0,0.173815,0.173592,0,1.81246
0.201447,0,0.0242231,1.47881,0,0.321936,0.319739,0,1.65384
0.263664,0,0.0283575,1.25606,0,0.490854,0.480278,0,1.48079
0.290177,0,0.0116758,1.07277,0,0.67044,0.637051,0,1.31788
0.281105,0,-0.0394729,0.942252,0,0.850861,0.776644,0,1.18861
0.248296,0,-0.124843,0.857787,0,1.01097,0.893917,0,1.11387
0.204393,0,-0.230333,0.764046,0,1.1238,1.03156,0,1.10653
0.158832,0,-0.338426,0.620419,0,1.23962,1.22075,0,1.09881
0.118698,0,-0.430258,0.443542,0,1.34746,1.43776,0,1.08279
0.08795,0,-0.488456,0.255249,0,1.42801,1.6568,0,1.06045
0.067588,0,-0.500846,0.0798719,0,1.46537,1.85254,0,1.03548
0.0568122,0,-0.463403,-0.0598226,0,1.4522,2.00301,0,1.0112
0.054543,0,-0.381492,-0.146809,0,1.3919,2.09227,0,0.989595
0.0605803,0,-0.269082,-0.172811,0,1.29796,2.11223,0,0.971118
0.0758447,0,-0.146175,-0.139295,0,1.1911,2.06345,0,0.955074
0.101412,0,-0.0350771,-0.0560731,0,1.09472,1.95466,0,0.940358
0.136465,0,0.0437092,0.0622305,0,1.03003,1.8013,0,0.926265
0.176171,0,0.0754763,0.200555,0,1.01151,1.62327,0,0.913011
0.212083,0,0.054837,0.345715,0,1.0436,1.4422,0,0.901567
0.236847,0,-0.0127431,0.4847,0,1.12053,1.27845,0,0.892211
0.249021,0,-0.112797,0.603638,0,1.2315,1.14734,0,0.881301
0.253087,0,-0.225179,0.693632,0,1.36665,1.05328,0,0.858533
0.256124,0,-0.327192,0.757347,0,1.51276,0.986529,0,0.814436
0.264657,0,-0.397121,0.80069,0,1.64605,0.934654,0,0.751066
0.28289,0,-0.418549,0.825938,0,1.74082,0.891172,0,0.677731
0.31195,0,-0.38416,0.833857,0,1.77947,0.854192,0,0.60469
0.34977,0,-0.297678,0.826152,0,1.7576,0.824078,0,0.54008
0.391476,0,-0.173346,0.80629,0,1.68471,0.802234,0,0.488638
0.430123,0,-0.0329512,0.779115,0,1.5815,0.790762,0,0.45145
0.457493,0,0.0991139,0.749802,0,1.47464,0.792705,0,0.42625
0.46486,0,0.201955,0.722671,0,1.39026,0.812469,0,0.407782
0.44458,0,0.263698,0.700455,0,1.34783,0.854965,0,0.38847
0.392911,0,0.28247,0.684454,0,1.3556,0.922635,0,0.361929
0.310821,0,0.263559,0.675162,0,1.40904,1.01402,0,0.327402
0.203312,0,0.217867,0.672361,0,1.49254,1.12433,0,0.289588
0.078972,0,0.160352,0.674729,0,1.58371,1.2463,0,0.255933
-0.0511031,0,0.107237,0.679784,0,1.6587,1.37132,0,0.234065
-0.175122,0,0.072677,0.684453,0,1.69742,1.49067,0,0.229902
-0.282643,0,0.0659144,0.685991,0,1.68763,1.59665,0,0.24646
-0.366378,0,0.0896595,0.682893,0,1.62693,1.68349,0,0.283415
-0.423429,0,0.140096,0.675528,0,1.52244,1.7479,0,0.337463
-0.455731,0,0.208496,0.666338,0,1.38816,1.78939,0,0.403349
-0.469587,0,0.284024,0.659556,0,1.24071,1.81003,0,0.475267
-0.474227,0,0.356972,0.660393,0,1.09484,1.81383,0,0.54819
-0.479446,0,0.421405,0.673575,0,0.959911,1.80587,0,0.618685
-0.49276,0,0.476132,0.701358,0,0.838763,1.7914,0,0.685106
-0.517091,0,0.523567,0.741887,0,0.728986,1.7752,0,0.747447
-0.550162,0,0.567349,0.789223,0,0.625541,1.76094,0,0.80711
-0.58573,0,0.610319,0.835332,0,0.523181,1.7504,0,0.8665
-0.615747,0,0.653664,0.872869,0,0.418204,1.74288,0,0.928133
-0.632445,0,0.696979,0.897184,0,0.309758,1.73526,0,0.993263
-0.629852,0,0.738776,0.906791,0,0.200426,1.72306,0,1.0608
-0.604685,0,0.777113,0.902796,0,0.095636,1.70189,0,1.12725
-0.556662,0,0.81024,0.88811,0,0.00209939,1.66855,0,1.18766
-0.488374,0,0.837155,0.866779,0,-0.0740208,1.62159,0,1.23687
-0.40478,0,0.857989,0.843364,0,-0.128659,1.56142,0,1.27067
-0.312452,0,0.87413,0.82233,0,-0.160782,1.49012,0,1.28665
-0.218674,0,0.888033,0.807472,0,-0.172586,1.4112,0,1.28455
-0.130565,0,0.902761,0.801466,0,-0.168974,1.3291,0,1.26621
-0.0543376,0,0.92133,0.805643,0,-0.156475,1.24869,0,1.23514
0.00523486,0,0.946043,0.820006,0,-0.141844,1.17476,0,1.1958
0.0451265,0,0.97796,0.843424,0,-0.13068,1.11145,0,1.15272
0.0642298,0,1.01664,0.873866,0,-0.126337,1.0619,0,1.1097
0.0634427,0,1.06013,0.908564,0,-0.129405,1.02799,0,1.06927
0.0456296,0,1.10517,0.9441,0,-0.137859,1.01027,0,1.03269
0.0153016,0,1.14751,0.976551,0,-0.147858,1.00815,0,1.00035
-0.0220791,0,1.18249,1.00181,0,-0.154959,1.02027,0,0.972468
-0.0610416,0,1.20582,1.01612,0,-0.155403,1.04493,0,0.949581
-0.0970418,0,1.21444,1.01661,0,-0.14714,1.08043,0,0.932696
-0.127168,0,1.20715,1.00179,0,-0.130319,1.12538,0,0.923174
-0.150493,0,1.18481,0.971668,0,-0.107133,1.17882,0,0.92232
-0.168013,0,1.15025,0.927816,0,-0.0810677,1.2402,0,0.930817
-0.18223,0,1.1077,0.873306,0,-0.0558492,1.30892,0,0.948146
-0.196457,0,1.06221,0.812733,0,-0.0345047,1.38372,0,0.972299
-0.214016,0,1.01889,0.752052,0,-0.0188654,1.46196,0,0.999974
-0.237492,0,0.982305,0.697971,0,-0.00947957,1.53952,0,1.02717
-0.268179,0,0.955776,0.656907,0,-0.00568217,1.61127,0,1.04991
-0.305787,0,0.940919,0.633801,0,-0.00568909,1.67199,0,1.06477
-0.348415,0,0.937402,0.631166,0,-0.00679172,1.71725,0,1.06939
-0.392736,0,0.943088,0.648545,0,-0.00577191,1.74419,0,1.06268
-0.434393,0,0.954549,0.682512,0,0.0004524,1.75188,0,1.045
-0.468608,0,0.967826,0.72722,0,0.0140848,1.74139,0,1.01809
-0.490967,0,0.979243,0.775427,0,0.0358205,1.71554,0,0.984937
-0.498267,0,0.986083,0.819798,0,0.064518,1.67847,0,0.949399
-0.489248,0,0.986997,0.854201,0,0.0972685,1.63505,0,0.915735
-0.465014,0,0.98211,0.874705,0,0.129843,1.59031,0,0.888047
-0.429001,0,0.97286,0.880094,0,0.157386,1.54891,0,0.869754
-0.386461,0,0.961646,0.871816,0,0.175175,1.51464,0,0.863179
-0.343514,0,0.951388,0.853439,0,0.179265,1.49008,0,0.869347
-0.305953,0,0.945055,0.82973,0,0.166967,1.47622,0,0.887979
-0.278048,0,0.945165,0.80555,0,0.137232,1.4725,0,0.917603
-0.26167,0,0.953252,0.784814,0,0.0910665,1.47686,0,0.955681
-0.25601,0,0.969343,0.769811,0,0.0319192,1.4862,0,0.998738
-0.257996,0,0.991649,0.761062,0,-0.0342179,1.49693,0,1.04257
-0.26324,0,1.01674,0.757683,0,-0.0993578,1.50556,0,1.08262
-0.267181,0,1.04025,0.758014,0,-0.154795,1.50917,0,1.11454
-0.266107,0,1.05799,0.760268,0,-0.192831,1.50584,0,1.13484
-0.257879,0,1.06701,0.763059,0,-0.208437,1.49482,0,1.14143
-0.242295,0,1.06636,0.765728,0,-0.200376,1.47657,0,1.13402
-0.221083,0,1.05734,0.768428,0,-0.171472,1.45265,0,1.11414
-0.197552,0,1.04309,0.771994,0,-0.127971,1.42556,0,1.08488
-0.17596,0,1.0278,0.777619,0,-0.0781809,1.39834,0,1.05038
-0.160683,0,1.01563,0.786415,0,-0.0307583,1.37427,0,1.01513
-0.155305,0,1.00974,0.798947,0,0.00691839,1.35636,0,0.983346
-0.16179,0,1.01164,0.814856,0,0.0299175,1.34693,0,0.958438
-0.179957,0,1.02101,0.832683,0,0.0362937,1.34727,0,0.942698
-0.207416,0,1.0358,0.849983,0,0.0270527,1.35743,0,0.937151
-0.240017,0,1.05276,0.863706,0,0.00569896,1.37631,0,0.941543
-0.272706,0,1.06806,0.87079,0,-0.0225168,1.40192,0,0.95446
-0.30055,0,1.07801,0.868814,0,-0.051574,1.43174,0,0.973565
-0.319689,0,1.07981,0.856622,0,-0.0757702,1.46307,0,0.99596
-0.32803,0,1.07213,0.834728,0,-0.0907349,1.4933,0,1.0186
-0.325559,0,1.05545,0.805423,0,-0.0941603,1.52014,0,1.03871
-0.31423,0,1.03202,0.772512,0,-0.0860916,1.54172,0,1.05407
-0.297511,0,1.0055,0.74073,0,-0.0687263,1.55678,0,1.06323
-0.279674,0,0.980223,0.714957,0,-0.0457844,1.56472,0,1.06556
-0.264992,0,0.960381,0.699384,0,-0.0216103,1.56561,0,1.06123
-0.256966,0,0.949162,0.696772,0,-0.000231422,1.56019,0,1.05107
-0.257694,0,0.948149,0.707933,0,0.0154033,1.54976,0,1.03645
-0.26746,0,0.957067,0.731517,0,0.023836,1.53594,0,1.0191
-0.284642,0,0.973921,0.764163,0,0.0251193,1.52048,0,1.00096
-0.305978,0,0.995459,0.801032,0,0.0205204,1.50495,0,0.984021
-0.327196,0,1.01782,0.836633,0,0.0120588,1.49056,0,0.970117
-0.343877,0,1.03724,0.865774,0,0.00200867,1.4781,0,0.960755
